atomic_number mass_number 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
6 -1 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023 0.19946145407400023
8 -1 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673 0.7683753864565673
12 -1 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05 9.973072703700011e-05
14 -1 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055 0.0049865363518500055
16 -1 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022 0.019946145407400022
20 -1 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016 0.0014959609055550016
22 -1 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003
24 -1 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003 0.0002991921811110003
26 -1 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05 4.9865363518500056e-05
26 56 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928 0.0002351210057410928
27 56 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324 0.0034830890066124324
28 56 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496 0.0012681535374040496
