 lambda_center tau_sobolev
0 76.772 1034.810696528699
1 96.772 5387.757991806807
2 116.772 4550.103776997776
3 136.772 3746.532099780271
4 156.772 3445.9348973510873
5 176.772 6304.818668488217
6 196.772 2245.0376843860013
7 216.772 3628.5979499765117
8 236.772 2571.254915565059
9 256.772 2731.417490781154
10 276.772 2843.6830435481206
11 296.772 1532.4060214502824
12 316.772 1390.3226421099853
13 336.772 1203.974389249944
14 356.772 818.6423906861534
15 376.772 400.9000797029705
16 396.772 400.19238540667993
17 416.772 871.473822968853
18 436.772 718.7521395521544
19 456.772 2351.5503369942167
20 476.772 807.4744098000232
21 496.772 172.4867462011809
22 516.772 389.51678260953634
23 536.772 195.44530526617342
24 556.772 1166.3765188972213
25 576.772 706.388309248025
26 596.772 265.4829692099977
27 616.772 597.7862233042908
28 636.772 1445.0782341043616
29 656.772 923.0156209714072
30 676.772 987.9905599403166
31 696.772 77.53651107173535
32 716.772 246.92958141540706
33 736.772 822.0309289918445
34 756.772 904.665598075998
35 776.772 916.5207133544999
36 796.772 1051.060912869428
37 816.772 499.9257100089112
38 836.772 1412.8485970056697
39 856.772 799.4945352257781
40 876.772 140.83776684190505
41 896.772 117.9843084974931
42 916.772 319.8574640696591
43 936.772 381.613435843146
44 956.772 334.55305970820984
45 976.772 521.2818790389756
46 996.772 791.5555306205608
47 1016.7719999999999 631.9700531146262
48 1036.772 157.85371504768003
49 1056.772 295.9126634495615
50 1076.772 71.46799364401748
51 1096.772 35.107155040374174
52 1116.772 297.1594881026587
53 1136.772 367.533647479594
54 1156.772 351.80230498935583
55 1176.772 632.4906392665782
56 1196.772 98.09241531608896
57 1216.772 581.1669543539118
58 1236.772 165.6371686984155
59 1256.772 107.04572058642162
60 1276.772 876.8200989675819
61 1296.772 688.3056423758892
62 1316.772 604.819695095935
63 1336.772 184.90704930768666
64 1356.772 309.1261656991077
65 1376.772 663.5982985814202
66 1396.772 74.09096110636717
67 1416.772 318.9188787237512
68 1436.772 476.41401593005827
69 1456.772 190.79664538693834
70 1476.772 406.23060722788017
71 1496.772 148.16765847664018
72 1516.772 86.41706751113884
73 1536.772 157.7543145391049
74 1556.772 324.68611313171175
75 1576.772 88.67149834382872
76 1596.772 13.21993219615193
77 1616.772 26.545040186883327
78 1636.772 11.145286300589587
79 1656.772 17.72450710099085
80 1676.772 18.852141494982426
81 1696.772 419.83256993306514
82 1716.772 221.38485891801147
83 1736.772 322.9834538171943
84 1756.772 548.5206859897822
85 1776.772 85.397342786858
86 1796.772 98.72223325360795
87 1816.772 248.51435902087385
88 1836.772 189.0313184829271
89 1856.772 126.35576654032982
90 1876.772 52.098780833748116
91 1896.772 5.340723268830495
92 1916.772 177.6896709914774
93 1936.772 97.11363058803948
94 1956.772 26.314552823754983
95 1976.772 14.356658338043621
96 1996.772 25.810236076158567
97 2016.772 28.069081731742102
98 2036.772 14.556990119332715
99 2056.772 200.9891993980768
100 2076.772 37.10669785636559
101 2096.772 31.577074055221306
102 2116.772 60.692681834612635
103 2136.772 191.2677565933542
104 2156.772 471.6304446020583
105 2176.772 480.3814999524833
106 2196.772 83.30817071793348
107 2216.772 896.0284150877168
108 2236.772 93.63077313835902
109 2256.772 389.4769447307006
110 2276.772 320.0742837135774
111 2296.772 675.1041333370432
112 2316.772 398.5784547063412
113 2336.772 542.6938251403782
114 2356.772 47.076121175998416
115 2376.772 149.9711798845029
116 2396.772 487.6442436384281
117 2416.772 301.81355543259986
118 2436.772 73.74085117536623
119 2456.772 174.13135694919896
120 2476.772 85.76011302001089
121 2496.772 9.918194138874801
122 2516.772 50.05475456369378
123 2536.772 96.63371151246906
124 2556.772 67.66972742199091
125 2576.772 47.33281130706664
126 2596.772 61.69717063966208
127 2616.772 68.99790774523937
128 2636.772 18.61864753770904
129 2656.772 125.60869084304454
130 2676.772 100.90090285633936
131 2696.772 4.210481135912383
132 2716.772 0.5636927806752181
133 2736.772 11.568331153620267
134 2756.772 28.382283814258443
135 2776.772 0.546460990630054
136 2796.772 16.06643195883514
137 2816.772 16.983743451373346
138 2836.772 2.5961695274575294
139 2856.772 90.3886054695747
140 2876.772 6.343840803952752
141 2896.772 3.6826500175561185
142 2916.772 0.6677328900318711
143 2936.772 174.85491302661066
144 2956.772 1.2963878014833021
145 2976.772 66.19222380564419
146 2996.772 122.80573501620654
147 3016.772 116.97838221411229
148 3036.772 4.428716991877656
149 3056.772 35.32332851258079
150 3076.772 163.60133204571383
151 3096.772 242.05775121084093
152 3116.772 42.68797727972241
153 3136.772 1.4565960249015337
154 3156.772 48.83013419319741
155 3176.772 61.073162332786204
156 3196.772 18.468348754452546
157 3216.772 55.0187379705331
158 3236.772 403.6119419001972
159 3256.772 382.5506997300084
160 3276.772 2.287179826474452
161 3296.772 3.547017628964134
162 3316.772 1.6049841733367713
163 3336.772 11.716291667024473
164 3356.772 134.39788093860318
165 3376.772 1.5070088814684965
166 3396.772 7.012778595132468
167 3416.772 10.550568161080534
168 3436.772 88.8009391420352
169 3456.772 119.97354705148231
170 3476.772 221.2392397409414
171 3496.772 562.3434653279068
172 3516.772 238.06604721371943
173 3536.772 11.484005474288278
174 3556.772 325.24362527307653
175 3576.772 24.515051240079263
176 3596.772 3.295521248761081
177 3616.772 619.3889513041718
178 3636.772 94.15311386217664
179 3656.772 2.4079818749307096
180 3676.772 302.87504360103094
181 3696.772 358.3797555632335
182 3716.772 1.34331780740273
183 3736.772 5.04553725178534
184 3756.772 8.466176089229531
185 3776.772 132.10977643827653
186 3796.772 72.17812849833426
187 3816.772 64.60092804447476
188 3836.772 50.83950107758123
189 3856.772 14.655857066748602
190 3876.772 1.69599814483878
191 3896.772 0.22928696624965053
192 3916.772 44.30526330679029
193 3936.772 52.52313843405402
194 3956.772 15.733409309249529
195 3976.772 59.57589040680501
196 3996.772 1.0283225489147292
197 4016.772 0.2034079015684933
198 4036.772 0.7564977644291906
199 4056.772 0.05708716302858037
200 4076.772 4.181498190748689
201 4096.772 0.12093184775806377
202 4116.772 0.5549015811666496
203 4136.772 0.11681298906695123
204 4156.772 0.01628187335847106
205 4176.772 0.18314234162787013
206 4196.772 0.7565785819242786
207 4216.772 0.03803306569644267
208 4236.772 1.5425461184226164
209 4256.772 0.016456673774076298
210 4276.772 249.16497492970586
211 4296.772 40.886219671178466
212 4316.772 125.23946003205309
213 4336.772 0.7506509379251101
214 4356.772 0.01814681646593759
215 4376.772 38.507521519828245
216 4396.772 1.6562911094829322
217 4416.772 0.28220804552240625
218 4436.772 5.905171289605114
219 4456.772 348.9117166441484
220 4476.772 4.772040782845689
221 4496.772 4.152239391742
222 4516.772 0.7214252836003627
223 4536.772 70.98125566138633
224 4556.772 12.607832265356127
225 4576.772 12.711153346628704
226 4596.772 1.432932142528808
227 4616.772 0.034484104875588534
228 4636.772 1.4620529389898058
229 4656.772 277.51782473404853
230 4676.772 1.1316165595416137
231 4696.772 75.69985383893466
232 4716.772 2.6346852542228483
233 4736.772 86.32444419948904
234 4756.772 16.033735020781997
235 4776.772 0.45850706070914365
236 4796.772 22.661411282839953
237 4816.772 0.3922474678065111
238 4836.772 2.3396353731031554
239 4856.772 4.574434394634096
240 4876.772 12.235210196578157
241 4896.772 30.28527860411278
242 4916.772 0.2888077165342502
243 4936.772 0.010906810519415062
244 4956.772 1.1674197877292463
245 4976.772 0.02577597924282455
246 4996.772 2.682036535663225
247 5016.772 5.205521086756747
248 5036.772 19.057622703503814
249 5056.772 1.9366706152851778
250 5076.772 3.7128895268183233
251 5096.772 0.4879774513700972
252 5116.772 0.004883205296024481
253 5136.772 0.008616201588016443
254 5156.772 5.96393540748725
255 5176.772 7.476422017746702
256 5196.772 0.07546019585048805
257 5216.772 31.788179170092857
258 5236.772 3.9067761636877036
259 5256.772 182.97039107447566
260 5276.772 45.52400723031628
261 5296.772 1.5343168409600743
262 5316.772 0.038811666252412884
263 5336.772 8.028304895661512
264 5356.772 94.5341725931823
265 5376.772 3.9097434217626503
266 5396.772 0.052863952259704916
267 5416.772 0.3601183106770509
268 5436.772 1.491252024463701
269 5456.772 0.8398192204893212
270 5476.772 3.7263533079575297
271 5496.772 0.19551554674131305
272 5516.772 6.857025111619437
273 5536.772 0.06755770979033593
274 5556.772 0.0029881653916480084
275 5576.772 12.4927424073312
276 5596.772 12.346306735471885
277 5616.772 0.000611876328239889
278 5636.772 0.0007125913183009915
279 5656.772 0.005964995037324621
280 5676.772 0.9929967720024431
281 5696.772 0.006255716915487754
