atomic_number mass_number 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
6 -1 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026 0.19946145407400026
8 -1 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566 0.772414480901566
12 -1 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05 9.973072703700014e-05
14 -1 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006 0.004986536351850006
16 -1 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025 0.019946145407400025
20 -1 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002 0.001495960905555002
22 -1 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004
24 -1 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004 0.0002991921811110004
26 -1 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007 0.0004986536351850007
26 56 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05 2.3512100574109284e-05
27 56 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326 0.00034830890066124326
28 56 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498 0.00012681535374040498
